70270745.00,2017.00,"TV-MA","5 Seasons"
70177067.00,2015.00,"TV-14","5 Seasons"
80002612.00,2018.00,"TV-MA","2 Seasons"
80095988.00,2018.00,"TV-Y7-FV","2 Seasons"
80024113.00,2016.00,"TV-PG","2 Seasons"
80200942.00,2019.00,"TV-MA","2 Seasons"
80186848.00,2019.00,"TV-MA","3 Seasons"
70197049.00,2018.00,"TV-PG","7 Seasons"
70283260.00,2017.00,"TV-14","4 Seasons"
81145628.00,2019.00,"TV-PG","90 min"
80117401.00,2016.00,"TV-MA","94 min"
70234439.00,2013.00,"TV-Y7-FV","1 Season"
80058654.00,2016.00,"TV-Y7","1 Season"
80125979.00,2017.00,"TV-14","99 min"
80163890.00,2016.00,"TV-MA","1 Season"
70304989.00,2014.00,"R","110 min"
80164077.00,2017.00,"TV-MA","60 min"
80117902.00,2017.00,"TV-MA","1 Season"
70304990.00,2014.00,"R","90 min"
80169755.00,2017.00,"TV-MA","78 min"
70299204.00,2015.00,"R","95 min"
80182480.00,2009.00,"TV-Y7","58 min"
80182483.00,2013.00,"TV-Y7","62 min"
80182596.00,2016.00,"TV-Y","65 min"
80182482.00,2012.00,"TV-Y7","61 min"
80182597.00,2017.00,"TV-Y7","65 min"
80182481.00,2010.00,"TV-Y7","58 min"
80182621.00,2013.00,"TV-Y7","60 min"
80057969.00,2015.00,"NR","135 min"
80060297.00,2014.00,"TV-14","98 min"
80046728.00,2015.00,"R","96 min"
80046727.00,2015.00,"TV-MA","79 min"
70304988.00,2014.00,"PG-13","113 min"
80057700.00,2015.00,"R","90 min"
80045922.00,2015.00,"NR","80 min"
80244601.00,2015.00,"TV-14","1 Season"
80203094.00,2018.00,"TV-MA","77 min"
80190843.00,2018.00,"TV-MA","1 Season"
70241607.00,2011.00,"TV-MA","112 min"
80988892.00,2018.00,"TV-PG","106 min"
80239639.00,2018.00,"PG-13","106 min"
80159586.00,2018.00,"TV-MA","102 min"
80152447.00,2016.00,"R","114 min"
80221550.00,2019.00,"TV-Y7","1 Season"
81154455.00,2019.00,"TV-MA","125 min"
81113928.00,2018.00,"TV-14","142 min"
81052275.00,2018.00,"TV-14","133 min"
81132437.00,2019.00,"TV-14","100 min"
80178151.00,2019.00,"TV-MA","1 Season"
80058026.00,2015.00,"R","86 min"
70303496.00,2014.00,"TV-14","146 min"
80162141.00,2015.00,"TV-MA","79 min"
80095641.00,2015.00,"TV-PG","102 min"
81176188.00,2019.00,"TV-G","10 min"
80159880.00,2012.00,"TV-14","122 min"
81016044.00,2009.00,"TV-14","126 min"
80158838.00,2014.00,"TV-14","116 min"
81016045.00,2016.00,"TV-PG","135 min"
70142798.00,2009.00,"TV-MA","125 min"
70062814.00,2004.00,"TV-MA","96 min"
80158839.00,2011.00,"TV-MA","130 min"
80147760.00,2016.00,"TV-14","98 min"
80177405.00,2017.00,"TV-MA","70 min"
80113482.00,2016.00,"TV-14","1 Season"
81160036.00,2016.00,"TV-14","128 min"
81173255.00,2017.00,"TV-MA","88 min"
81078908.00,2019.00,"PG","108 min"
81155784.00,2019.00,"TV-14","93 min"
80201906.00,2018.00,"PG-13","135 min"
80052612.00,2015.00,"R","88 min"
80113641.00,2016.00,"TV-14","1 Season"
81054495.00,2019.00,"TV-MA","64 min"
80996949.00,2018.00,"TV-14","1 Season"
80239337.00,2016.00,"TV-Y7","1 Season"
70212504.00,2012.00,"PG","107 min"
81011682.00,2018.00,"TV-MA","1 Season"
80128317.00,2016.00,"TV-PG","1 Season"
81027384.00,2017.00,"TV-14","1 Season"
80030186.00,2015.00,"TV-PG","1 Season"
80116921.00,2017.00,"TV-Y7","1 Season"
80187061.00,2017.00,"TV-MA","130 min"
80181555.00,2017.00,"TV-14","1 Season"
80081155.00,2016.00,"TV-MA","92 min"
80184358.00,2014.00,"TV-14","1 Season"
80198585.00,2018.00,"TV-MA","96 min"
70233894.00,2010.00,"NR","112 min"
81011955.00,2018.00,"TV-MA","111 min"
80128722.00,2017.00,"TV-MA","103 min"
80182115.00,2017.00,"TV-14","40 min"
80163293.00,2015.00,"TV-PG","1 Season"
80104068.00,2017.00,"TV-14","103 min"
80119349.00,2017.00,"TV-14","85 min"
80199032.00,2017.00,"TV-14","1 Season"
80180449.00,2014.00,"TV-14","1 Season"
80019931.00,2015.00,"TV-Y7","72 min"
81053893.00,2019.00,"TV-G","45 min"
80200087.00,2019.00,"R","89 min"
81053892.00,2019.00,"TV-PG","90 min"
81002850.00,2012.00,"TV-14","126 min"
81004470.00,2018.00,"TV-MA","130 min"
